Data,Coordenada X,Coordenada Y,Coordenada Z,PPV (T),PPV (V),PPV (L),PVS,t (T),t (V),t (L),TR,a (T),a (V),a (L),d (T),d (V),d (L),F (T),F (V),F (L),PA (dB),Dist. (m)
06/02/2026,"748.500,00","8.932.030,00",,"0,14","0,13","0,13","0,18","0,08","0,05","0,04","0,09","0,00","0,00","0,00","0,00","0,00","0,00","5,00","28,00","22,00","105,11","1.575,00"
10/02/2026,"748.500,00","8.932.030,00",,"0,47","0,55","0,72","0,80",-,-,-,-,"0,02","0,01","0,02",-,-,-,"25,00","83,00","125,00","114,79","1.575,00"
13/02/2026,"748.500,00","8.932.030,00",,"0,39","0,29","0,24","0,43","0,38","0,40","0,37","0,38","0,01","0,01","0,01","0,00","0,00","0,00","15,00","25,00","18,00","118,63","1.911,60"
13/02/2026,"750.100,00","8.931.850,00",,"0,23","0,21","0,50","0,51","13,50","13,47","12,97","12,97","0,01","0,01","0,01","0,03","0,40","0,00","7,30","7,50","7,30",N/A,"2.135,50"
13/02/2026,"750.100,00","8.931.850,00",,"0,39","0,23","0,38","0,50","13,50","13,11","13,20","13,20","0,01","0,01","0,01","0,78","0,01","0,64","7,40","7,70","7,20",N/A,"2.135,50"
18/02/2026,"748.500,00","8.932.030,00",,"0,24","0,18","0,16","0,27","0,00","0,12","0,36","0,40","0,01","0,00","0,01","0,00","0,00","0,00","31,00","24,00","31,00","108,02","1.856,01"
18/02/2026,"750.090,00","8.931.850,00",,"0,252","0,205","0,426","0,451","276,37","276,172","275,973","275,973","0,008","0,007","0,007","0,041","8,298",0,"7,4","7,6","7,3",N/A,"2.187,76"
18/02/2026,"750.090,00","8.931.850,00",,"0,307","0,181","0,181","0,369","276,389","276,144","276,055","276,389","0,008","0,007","0,008","17,038","0,027","13,693","7,2","7,6","7,1",N/A,"2.187,76"
20/02/2026,"748.500,00","8.932.030,00",,"0,117","0,091","0,148","0,158","0,495","0,403","0,13","0,13","0,0022","0,0022","0,0023","0,0011","0,0008","0,0019",16,16,12,"114,547","1.979,66"
20/02/2026,"750.060,00","8.931.300,00",,"0,757","0,386","0,591","0,761","97,619","97,679","97,682","97,619","0,01","0,008","0,01","0,01","0,004","4,12","7,4","7,7","7,2",N/A,"1.393,20"
20/02/2026,"750.060,00","8.931.300,00",,"0,946","0,378","0,749","0,955","97,62","97,225","97,733","97,62","0,01","0,007","0,008","8,199","4,409","13,586","7,3","7,5","7,4",N/A,"1.393,20"
24/02/2026,"748.500,00","8.932.030,00",,"0,011","0,01","0,01","0,016",-,-,-,-,"0,0008","0,0009","0,0009",-,-,-,11,250,38,"103,314","1.488,47"
24/02/2026,"747.900,00","8.931.000,00",,"0,127","0,127","0,127","0,111","0,038","0,051","75,302","75,301","0,007","0,007","0,008","0,002","0,014","2,401","7,4","7,7","7,2",N/A,"1.025,93"
24/02/2026,"747.900,00","8.931.000,00",,"0,236","0,158","0,363","0,454","0,017","0,146","0,002","0,019","0,007","0,007","0,007",0,0,0,"7,2","7,5","7,3",N/A,"1.025,93"
27/02/2026,"748.500,00","8.932.030,00",,"0,611","0,671","0,764","0,89","0,688","0,401","1,083",-,"0,0136","0,0145","0,0177","0,0039","0,0045","0,0083",17,31,36,"127,044","1.454,94"
27/02/2026,"749.769,13","8.931.376,65",,"0,575","0,378","0,835","0,847","422,3","422,826","422,018","422,018","0,012","0,012","0,012","0,098","0,017","28,884","7,4","7,7","7,2",N/A,"1.343,18"
27/02/2026,"749.769,13","8.931.376,65",,"0,733","0,441","0,82","0,947","422,243","421,938","421,937","421,938","0,01","0,01","0,01","31,65","19,334","58,216","7,2","7,5","7,3",N/A,"1.343,18"
