Data,ID_Sismografo,Coordenada X,Coordenada Y,Coordenada Z,PPV (T),PPV (V),PPV (L),PVS,t (T),t (V),t (L),TR,a (T),a (V),a (L),d (T),d (V),d (L),F (T),F (V),F (L),PA (dB),Dist. (m)
06/02/2026,Online,"748.500,00","8.932.030,00","264,90","0,1380","0,1250","0,1310","0,1760","0,0830","0,0530","0,0410","0,0850","0,0031","0,0021","0,0024","0,0028","0,0019","0,0028","5,0000","28,0000","22,0000","105,1090","1.575,0000"
10/02/2026,Online,"748.500,00","8.932.030,00","264,90","0,4670","0,5450","0,7240","0,8020",N/A,N/A,N/A,N/A,"0,0210","0,0145","0,0213",N/A,N/A,N/A,"25,0000","83,0000","125,0000","114,7890","1.575,0000"
10/02/2026,Enaex,"744.500,00","8.928.000,00",N/A,"0,1270","0,1270","0,1270","0,1430",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,3000","7,3000","7,1000",N/A,"4.278,0000"
10/02/2026,Enaex,"748.975,00","8.931.810,00",N/A,"0,5910","0,6230","0,7570","0,8190",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,5000","7,5000","7,3000",N/A,"1.248,3000"
10/02/2026,Enaex,"750.337,00","8.930.806,00",N/A,"0,4570","0,3310","0,4970","0,5980",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,3000","7,5000","4,4000",N/A,"1.577,4000"
13/02/2026,Online,"748.500,00","8.932.030,00","264,90","0,3920","0,2940","0,2360","0,4310","0,3840","0,3960","0,3660","0,3840","0,0081","0,0054","0,0065","0,0029","0,0027","0,0035","15,0000","25,0000","18,0000","118,6280","1.911,6000"
13/02/2026,Offline,"750.100,00","8.931.850,00","267,60","0,2290","0,2130","0,5040","0,5080","13,5010","13,4670","12,9660","12,9660","0,0080","0,0080","0,0080","0,0260","0,4020","0,0000","7,3000","7,5000","7,3000",N/A,"2.135,5000"
13/02/2026,Offline,"750.100,00","8.931.850,00","267,60","0,3860","0,2290","0,3780","0,4990","13,5010","13,1110","13,2020","13,2010","0,0100","0,0120","0,0100","0,7830","0,0130","0,6380","7,4000","7,7000","7,2000",N/A,"2.135,5000"
13/02/2026,Enaex,"748.500,00","8.932.030,00",N/A,"0,1270","0,1270","0,1270","0,0950",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,5000","7,5000","7,3000",N/A,"4.233,6000"
13/02/2026,Enaex,"750.000,00","8.927.000,00",N/A,"0,4810","0,2290","0,4890","0,5290",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,3000","7,5000","7,3000",N/A,"1.585,3000"
13/02/2026,Enaex,"750.300,00","8.926.900,00",N/A,"0,2520","0,2130","0,2920","0,3220",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"7,5000","7,5000","7,5000",N/A,"1.730,8000"
18/02/2026,Online,"748.500,00","8.932.030,00","264,90","0,2410","0,1780","0,1640","0,2670","0,0020","0,1170","0,3600","0,3950","0,0079","0,0045","0,0052","0,0012","0,0015","0,0011","31,0000","24,0000","31,0000","108,0170","1.856,0100"
18/02/2026,Offline,"750.090,00","8.931.850,00","269,70","0,2520","0,2050","0,4260","0,4510","276,3700","276,1720","275,9730","275,9730","0,0080","0,0070","0,0070","0,0410","8,2980","0,0000","7,4000","7,6000","7,3000",N/A,"2.187,7600"
